"Row.names"	"sum"	"sample.name"	"sample.no"	"sample"	"Phase"	"Region"	"Regime"	"Region_Regime"	"region_regime"	"sample_regime"	"sample_or_control"	"Sample_Type"	"is.neg"
"25"	"distal-VMV-T3-Rep2"	1223	"3_3_2_D"	130	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"26"	"distal-VMV-T3-Rep3"	132099	"3_3_3_D"	94	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"27"	"distal-VMV-T3-Rep4"	2464	"3_3_4_D"	21	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"28"	"distal-VMV-T3-Rep5"	7325	"3_3_5_D"	127	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"29"	"distal-VMV-T3-Rep6"	54753	"3_3_6_D"	216	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"30"	"distal-VMV-T8-Rep1"	198870	"3_8_1_D"	95	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"31"	"distal-VMV-T8-Rep2"	2226	"3_8_2_D"	18	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"32"	"distal-VMV-T8-Rep3"	145779	"3_8_3_D"	244	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"33"	"distal-VMV-T8-Rep4"	92930	"3_8_4_D"	30	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"34"	"distal-VMV-T8-Rep6"	2327	"3_8_6_D"	42	"gut"	"challenge"	"distal"	"VMV"	"distal.VMV"	"distal.VMV"	"gut.VMV"	"sample"	"gut_distal"	FALSE
"35"	"feed-M-Rep1"	145325	"M1"	170	"feed"	"challenge"	"feed"	"M"	"feed.M"	"feed.M"	"feed.M"	"sample"	"feed"	FALSE
"36"	"feed-M-Rep2"	35950	"M2"	231	"feed"	"challenge"	"feed"	"M"	"feed.M"	"feed.M"	"feed.M"	"sample"	"feed"	FALSE
